name,name_zh,overview,description,keywords
weapon-vertical,武器-纵向,"作用于与行进方向不同的轴。","攻击或干扰上下方或侧面而非正前方。","雨, 柱, 轴, 降落, 盲区"
weapon-reflect,武器-反弹,"从墙壁或障碍物反弹。","利用反射到达无法直接瞄准的位置。","激光, 角度, 谜题, 间接, 光束"
weapon-auto_aiming,武器-自动瞄准,"自动瞄准敌人。","系统捕获最佳目标，不受玩家操作影响。","炮塔, 锁定, 科技, 自动化, 监控"
weapon-explosion,武器-爆炸,"撞击或满足条件时爆炸。","影响一个区域而非一个点。","爆炸, 范围, 混沌, 冲击波, 宣泄"
weapon-blow_off,武器-击飞,"物理击飞目标。","给予强制位移或击退而非伤害。","风, 冲击, 距离, 排斥, 物理"
weapon-wipe,武器-横扫,"横扫广阔区域。","线性或扇形检测移动并一次性覆盖大范围。","光束, 横扫, 净化, 擦除, 刮水器"
weapon-arc,武器-弧形,"具有弧形或扇形范围。","以距离与扩散之间权衡的形状展开。","彩虹, 扩散, 扇形, 覆盖, 散射"
weapon-ray,武器-射线,"出现瞬间到达的直线。","没有子弹速度的概念；瞬间影响直线上的目标。","闪光, 直线, 视线, 穿透, 速度"
weapon-smoke,武器-烟雾,"制造阻挡视野的效果。","用烟幕遮蔽信息。","烟雾, 致盲, 隐匿, 气体, 不确定性"
weapon-time_limit,武器-定时,"经过时间延迟后触发效果。","从放置到激活有滞后；需要预测未来情况。","定时炸弹, 倒计时, 恐慌, 引信, 陷阱"
weapon-disablement,武器-禁用,"暂时禁用目标功能。","封印移动或攻击而不销毁。","眩晕, 冻结, 陷阱, 和平主义, 束缚"
weapon-interference,武器-干扰,"取消敌人攻击或行动。","通过用自己的行动迎击来袭物体或敌方运动来抵消。","格挡, 干扰, 护盾, 碰撞, 取消"
weapon-change_field,武器-地形改造,"改变地形本身。","重写字段结构，如制造洞穴或创建墙壁。","地形改造, 破坏, 创造, 挖掘, 建设"
obstacle-fall,障碍-落物,"从上方落下。","物体受重力作用如雨般落下。","雨, 俄罗斯方块, 重力, 雪崩, 落物"
obstacle-chase,障碍-追击,"无情追逐玩家。","根据玩家位置改变移动方向，缩短距离。","恐怖, 追逐, 磁铁, 僵尸, 压力"
obstacle-bounce,障碍-弹跳,"持续在墙壁和地面间弹跳。","以不可预测的轨迹在场地中弹来弹去。","混沌, 分子, 运动, 不可预测, 反射"
obstacle-split,障碍-分裂,"满足条件时分裂。","通过破坏或时间推移增加数量、减小尺寸。","细胞分裂, 碎片, 增殖, 病毒, 扩散"
obstacle-stack,障碍-堆叠,"堆叠后变成地形。","落下或停止后残留，缩小移动范围或成为平台。","俄罗斯方块, 墙壁, 堆积, 埋没, 堵塞"
obstacle-foresee,障碍-预判,"预判玩家移动。","朝预测的未来位置而非当前位置行动。","狙击手, 预测, AI, 计算, 狡猾"
obstacle-well_up,障碍-涌出,"从下方涌出。","从地面或屏幕底部出现并向上移动。","间歇泉, 上升, 喷发, 气泡, 源头"
obstacle-penalty,障碍-惩罚物,"接触或破坏时变为不利。","需要避免的物体，但常与敌人混合放置。","雷区, 禁忌, 精密, 精度, 陷阱"
field-floors,场地-悬浮平台,"多个平台悬浮在空中。","没有连续的地面；平台间歇性放置。","岛屿, 断裂, 海拔, 孤立, 踏脚石"
field-holes,场地-空洞,"地面存在洞口。","包含无法通行或导致坠落的有害区域。","陷阱, 缺口, 风险, 虚空, 开口"
field-bottomless,场地-无底,"屏幕底部没有地面。","坠落导致立即游戏结束或无法恢复。","眩晕, 坠毁, 深渊, 生存, 高度"
field-roughness,场地-崎岖,"地形不规则且崎岖。","不平坦；坡度和摩擦力变化影响移动。","摩擦力, 崎岖路面, 噪声, 不平, 阻力"
field-spike,场地-尖刺,"接触即死的危险区域。","仅接触就导致失败的高风险地形物体。","危险, 荆棘, 即死, 锋利, 边界"
field-outpost,场地-据点,"存在需要到达的特定点。","以通过或触碰为目的的目标或检查点。","基地, 目标, 圣所, 靶心, 里程碑"
field-lanes,场地-车道,"移动路线分为多条车道。","非自由平面移动，而是在固定的多条线上移动。","交通, 并行, 切换, 公路, 选择"
field-pins,场地-钉点,"放置点状物体。","作为平台、障碍物或挂钩点发挥功能的点的集合。","弹珠台, 节点, 网, 网格, 钉子"
field-rotate,场地-旋转,"整个场地或部分旋转。","随着重力方向或视角旋转，相对位置改变。","离心机, 迷失, 轨道, 轴, 旋转"
field-press,场地-压缩,"地形突出并缩小空间。","墙壁或天花板移动；安全区域随时间变化或消失。","幽闭恐惧, 压榨机, 活塞, 时机, 压力"
field-gravity,场地-重力,"重力或引力作用。","角色或物体被拉向特定方向或点。","引力, 重量, 轨道, 磁铁, 牛顿"
field-space,场地-太空,"摩擦力或重力稀薄的空间。","惯性作用强烈；一旦移动就难以停止。","真空, 零重力, 漂流, 广袤, 惯性"
field-water,场地-水域,"具有浮力或阻力的流体空间。","与空气不同，移动有阻力或导致漂浮。","浮力, 阻力, 呼吸, 水流, 深度"
field-weather,场地-天气,"环境因素产生影响。","自然现象通过能见度差或外力干扰游玩。","风, 暴风雨, 随机, 自然, 变化"
field-connected,场地-连接,"物体彼此物理连接。","通过链条或杆件相连；联动移动。","网络, 链条, 链接, 依赖, 结构"
field-regenerate,场地-再生,"地形或物体再生。","被破坏后复活或持续自动生成。","生长, 愈合, 无限, 不死, 循环"
field-1D,场地-一维,"移动限制在1维。","只能左右或上下移动；无法在平面上回避。","线, 钢丝, 极简, 直线, 狭窄"
field-3D,场地-三维,"存在深度方向的移动或表现。","包含Z轴方向的移动或透视表现。","深度, 透视, 体积, Z轴, 空间"
field-multiple,场地-多场地,"多个场地并行存在。","通过分屏同时处理不同地点的事件。","多任务, 分屏, 并行, 同时, 全局"
field-auto_scroll,场地-强制滚动,"屏幕强制滚动。","不允许站立不动；持续向前推进。","时间, 冲刺, 传送带, 不归路, 焦虑"
rule-match,规则-匹配,"匹配颜色、形状、数字等。","需要模式识别和选择，而非单纯行动。","模式, 顺序, 集合, 同一性, 识别"
rule-find,规则-寻找,"找到特定目标。","在众多事物中找到正确答案或目标。","搜索, 隐藏, 侦探, 大海捞针, 发现"
rule-classify,规则-分类,"分类和排序目标。","根据属性采取不同的响应。","分类, 守门人, 裁判, 过滤, 区分"
rule-surround,规则-包围,"包围一个区域。","用线条或物体创建封闭形状。","包围, 领地, 套索, 捕获, 屏障"
rule-shelter,规则-庇护,"躲藏在安全区域。","利用掩体或阻挡攻击的区域。","安全, 庇护, 隐匿, 掩体, 避难所"
rule-pass_through_gap,规则-穿隙,"通过狭窄缝隙。","执行精确定位并利用碰撞检测的间隙。","针眼, 精度, 窄路, 关口, 聚焦"
rule-balance,规则-平衡,"维持平衡。","控制不倒塌或保持重心。","天平, 跷跷板, 平衡, 倾覆, 危险"
rule-mathematics,规则-数学,"需要进行数值处理。","包含计算、排序、等式等逻辑规则。","逻辑, 计算, 等价, 数字, 算法"
rule-physics,规则-物理,"使用物理行为。","惯性、摩擦、碰撞等物理模拟元素是核心。","惯性, 碰撞, 质量, 模拟, 作用与反作用"
rule-geometry,规则-几何,"涉及几何放置或形状。","使用角度、对称性、图形性质。","角度, 图形, 对称, 空间, 数学之美"
rule-time_limit,规则-时限,"存在时间限制。","时间作为资源递减；耗尽时结束。","截止, 肾上腺素, 竞速, 衰减, 紧迫"
rule-gauge_management,规则-仪表管理,"管理仪表数值。","控制参数的增减：储存、维持、消耗。","经济, 体力, 平衡, 恒温器, 耗尽"
rule-combo_multiplier,规则-连击倍率,"连续成功时得分增加。","通过不犯错地持续行动，奖励指数级增长。","势头, 流畅, 贪婪, 节奏, 连锁"
rule-control_weapons,规则-控制武器,"控制武器本身。","直接移动攻击手段而非角色。","遥控, 木偶, 间接, 无人机, 远程"
rule-proximity_bonus,规则-近距离奖励,"越接近危险奖励越高。","通过逼近碰撞获得高分。","冒险家, 擦弹, 风险, 肾上腺素, 勇气赛"
rule-time_manipulation,规则-时间操控,"操纵时间流。","发生慢动作、停止、快进。","慢动作, 倒带, 黑客帝国, 相对论, 控制"
rule-chain,规则-连锁,"触发连锁反应。","一个行动引发下一个；效果传播。","多米诺, 反应, 级联, 链接, 涟漪"
rule-friendly_fire,规则-友军伤害,"友军也存在攻击检测。","你的攻击也会击中自己或友方物体。","背叛, 小心, 混沌, 自毁, 双刃剑"
on_pressed-turn,按下-转向,"改变移动方向。","按键输入将行进向量改变90或180度。","转弯, 切换, 反应, 锯齿, 急转"
on_pressed-jump,按下-跳跃,"跳入空中。","获得对抗重力的向上向量。","跳跃, 逃脱, 垂直性, 脉冲, 飞行"
on_pressed-flap,按下-拍翅,"在空中拍打。","通过间歇性输入维持浮力，与重力平衡。","鸟类, 抵抗, 节奏, 漂浮, 悬挂"
on_pressed-reverse_state,按下-反转状态,"反转状态或属性。","将重力、颜色、行进方向切换到相反状态。","反转, 切换, 极性, 翻转, 开关"
on_pressed-shoot,按下-射击,"发射抛射物。","生成并发射物体。","射击, 释放, 抛射物, 行动, 攻击"
on_pressed-pierce,按下-穿透,"执行穿透攻击。","穿透障碍物并干扰到线段的另一侧。","钻, 矛, 笔直, 突破, 串刺"
on_pressed-split,按下-分裂,"分裂自身或目标。","一个实体分成多个并开始各自行动。","分割, 增殖, 扩散, 散开, 细胞"
on_pressed-select_route,按下-选路,"选择并决定路线。","在岔路口确认走哪条路。","切换, 决策, 分支, 路径, 命运"
on_pressed-go_forward,按下-前进,"向前移动或加速。","仅在输入时产生向前的力。","推力, 加速, 冲动, 迈步, 前进"
on_pressed-jump_into_another,按下-跳转,"跳到另一个目标上。","离开当前宿主并移动或附身目标。","宿主, 附身, 跳跃, 转移, 切换"
on_pressed-fall,按下-坠落,"快速下降。","取消空中滞留时间并冲向地面。","下落, 重量, 锚定, 俯冲, 重力"
on_pressed-change_field,按下-切换场地,"切换场地状态。","瞬间改变背景或环境规则。","世界切换, 维度, 开关, 转换, 魔法"
on_pressed-attack,按下-攻击,"执行近战攻击。","立即在自身周围或前方创建攻击检测。","打击, 近战, 冲击, 瞬间, 撞击"
on_holding-adjust_angle,按住-调整角度,"持续调整角度或方向。","按住按钮期间，瞄准或行进方向持续变化。","瞄准, 刻度盘, 精度, 聚焦, 旋转"
on_holding-rotate,按住-旋转,"持续旋转。","按住按钮期间，物体执行旋转运动。","旋转, 蓄力, 方向, 朝向, 螺旋"
on_holding-thrust,按住-推进,"持续产生推力。","像火箭一样，仅在按住时加速。","火箭, 喷射, 加速, 推动, 爆发"
on_holding-move,按住-移动,"持续移动。","仅在按住按钮时移动。","驾驶, 滑动, 主动, 控制, 奔跑"
on_holding-stop,按住-停止,"原地停止。","强制停止移动并固定位置。","刹车, 冻结, 等待, 耐心, 静止"
on_holding-shoot,按住-连射,"连射。","按住按钮时间歇性或连续发射子弹。","机枪, 光束, 洪流, 倾泻, 弹幕"
on_holding-extend,按住-延伸,"延伸身体或武器。","物体长度与按住按钮的时间成正比延长。","生长, 延伸, 拉伸, 柔韧, 弹性"
on_holding-charge,按住-蓄能,"蓄积能量。","投入时间以增强后续行动的效果。","积累, 力量, 紧张, 释放, 充能"
on_holding-inhale,按住-吸气,"吸气。","产生吸引周围物体的引力。","真空, 卡比, 重力, 吸引, 聚集"
on_holding-defend,按住-防御,"进入防御状态。","阻挡攻击但通常限制移动等其他行动。","护盾, 乌龟, 壳, 安全, 蜷缩"
on_holding-defenseless,按住-无防备,"变得无防备但执行某事。","防御力下降或无法移动，作为强大行动的代价。","脆弱, 施法, 暴露, 引导, 风险"
on_holding-reverse_state,按住-反转状态,"暂时反转状态。","仅在按住时，变为另一个世界或相反属性。","交替, 相位切换, 开关, 按住, 变身"
on_holding-avoid,按住-闪避,"维持回避状态。","变为穿过敌人或子弹的状态。","幽灵, 虚体, 闪避, 相位, 无敌"
on_released-throw,松开-投掷,"投掷或发射。","释放储存的力量或持有的物体。","抛出, 发射, 弹射, 松手, 扔"
on_released-erase,松开-擦除,"擦除或引爆。","成为使放置物品或选定范围消失的触发器。","删除, 引爆, 触发, 切断, 销毁"
on_got_item-reverse_state,拾取-反转状态,"获得道具时状态反转。","不是强化，而是规则或物理定律反转。","诅咒, 祝福, 变异, 反转, 诡计"
on_got_item-power_up,拾取-强化,"能力提升。","速度、攻击力、尺寸等增强。","成长, 力量, 进化, 增益, 觉醒"
on_got_item-spawn,拾取-召唤,"友军或分身增加。","生成帮助玩家的单位。","增援, 分身, 军队, 补充, 招募"
